date,African Sun Limited,Axia Corporation Limited,Caledonia Mining Corporation Plc,Edgars Stores Limited,First Capital Bank Limited,Innscor Africa Limited,National Foods Holdings Limited,Nedbank Group Limited Zimbabwe Depository Receipts,Padenga Holdings Limited,Seed Co International Limited Vx,Simbisa Brands Limited,West Prop Holdings Limited,Zimplow Holdings Limited
2024-5-31,3330,13330,0,2096,530,55077,57,0,5702,1836462,12819,0,0
2024-6-5,1485,0,0,300,2822125,89182,0,0,7106,32,3773,0,1600
2024-6-5,550,870,0,987,4143,100411,26,0,116218,0,57890,0,4858
2024-6-7,389910,14200,0,0,0,622877,7023,473,0,0,0,1550604,0
2024-6-10,360,554,0,790,303158,30,2291,0,395,38988,526811,0,1363,500,60,690600,1679207,0,372017,0,70926,0,500
2024-6-11,0,0,0
2024-6-12,794,0,0,1298,0,723,0,0,100,0,77481,0,0
2024-6-13,3884,455,0,0,475,26834,0,270,0,0,0,5808,0
2024-6-14,3000,247714,4205,0,0,14435,73390,6532,0,100,7389,31060,315
2024-6-17,Total
Traded
Volume,0,700,430,0,778379,0,0,0,1257,0,546,0,0
2024-6-17,0,0,700,0,778379,0,0,1257,0,546,0,0
2024-6-17,430,0,0,700,0,778379,0,0,1257,0,546,0,0
2024-6-18,300,1000,205,0,565,82569,0,0,70,0,7557,0,500
2024-6-19,1650,571,0,0,2870,22,0,0,349,0,301701,0,2111714
