date,market cap (USD),turnover (USD),foreign buys (USD), foreign sells (USD),trades,
29 05 2024,1174696243,1127.13,0,0,24,
29 05 2024,1174696243,1127.13,0,0,24,
30 05 2024,1172954502,449125.3,0,0,51,
31 05 2024,1172954502,397873.17,148.1,0,50,
05 06 2024,1218388559,130131.36,0,0,52,
06 06 2024,1227778789,85400.44,0,0,45,
10 06 2024,1224718818,195119.71,0,0,50,
11 06 2024,454215.62,0,0,48,1225603377,27492.45
12 06 2024,0,9.86,1221866805,20,,
13 06 2024,14399.74,1225355078,0,0,29,

2024-6-14, 0.00,36, 0.00,1234611421, 36185.82
2024-6-17, 0.00, 332588.00,1215677371, 0.00,37
2024-6-18,1210260042, 40849.58, 0.00, 0.00,28
2024-6-19,1227330816, 138162.43, 0.00, 0.00,22
